Program Name,Division Name,Team Name,Team Code,Allocated Players,Unallocated Players,Allocated Volunteers,Unallocated Volunteers
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Shikella (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Christopherson (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Donovan (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Watson (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Perez (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Walsworth (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Becker (Shikella - Test),,0,0,2,7
2025 Regular Season BASEBALL,Shikella - 2025 - NCLL Test Organization,Max (Shikella - Test),,0,0,1,8
2025 Regular Season BASEBALL,"Tee-ball Division (League Age 5-6)   ",Tee Ball 01 - Goehring,,12,0,2,17
2025 Regular Season BASEBALL,"Tee-ball Division (League Age 5-6)   ",Tee Ball 02 - Jordan,,14,0,2,17
2025 Regular Season BASEBALL,"Tee-ball Division (League Age 5-6)   ",Tee Ball 03 - Suarez,,15,0,2,17
2025 Regular Season BASEBALL,"Tee-ball Division (League Age 5-6)   ",Tee Ball 04 - Carlson,,13,0,2,17
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 08 Bach,,13,0,4,32
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 03 Clinch,,12,0,3,33
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 07 Douglas,,11,0,2,34
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 04 Hatridge,,12,0,4,32
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 06 Salmeron,,12,0,2,34
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 02 Traube,,11,0,1,35
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 01 Wick,,12,0,5,31
2025 Regular Season BASEBALL,"A - Division BASEBALL (League Age 7-8)   ",Team 05 Yokel,,11,0,2,34
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Kens Market Bullfrogs-AA-BB,,13,0,5,50
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Reuben's-AA-BB,,12,0,5,50
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Spicy Pepperonis-AA-BB,,12,0,5,50
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Roasted Sigmas-AA-BB,,14,0,4,51
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Cutter and Buck-AA-BB,,12,0,2,53
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Root Beer Runners-AA-BB,,12,0,4,51
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Angry Chipmunks-AA-BB,,13,0,3,52
2025 Regular Season BASEBALL,AA - Division BASEBALL (League Age 8-9),Zoka Blueberry Steamers-AA-BB,,12,0,4,51
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),Focus Baseball NCLL AAA BB,,12,0,4,41
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),Vertical Construction Group NCLL AAA BB,,13,0,4,41
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),CubeSmart NCLL AAA BB,,13,0,4,41
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),Bear Mountain Capital NCLL AAA BB,,13,0,3,42
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),Industrious U-District NCLL AAA BB,,13,0,3,42
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),Kitch Switch NCLL AAA BB,,13,0,3,42
2025 Regular Season BASEBALL,AAA - Division BASEBALL (League Age 10-11),Harjo Construction NCLL AAA BB,,13,0,3,42
2025 Regular Season BASEBALL,Majors - Division BASEBALL (League Age 11-12),Project 9 NCLL Majors BB,,12,0,4,29
2025 Regular Season BASEBALL,Majors - Division BASEBALL (League Age 11-12),El Camion NCLL Majors BB,,12,0,3,30
2025 Regular Season BASEBALL,Majors - Division BASEBALL (League Age 11-12),Lincoln Baseball NCLL Majors BB,,12,0,3,30
2025 Regular Season BASEBALL,Majors - Division BASEBALL (League Age 11-12),Cedarhouse Flowers NCLL Majors BB,,12,0,4,29
2025 Regular Season BASEBALL,Majors - Division BASEBALL (League Age 11-12),Zahra Lechak Windermere NCLL Majors BB,,12,0,4,29
2025 Regular Season BASEBALL,"Juniors - Division BASEBALL (League Age 13-14)  ",Fuller Living Construction NCLL Juniors BB,,19,0,6,10
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Fireball Chickens! (Tassos),,12,0,3,35
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Asteroids (Rich),,12,0,2,36
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Kindy 03 - Bozsa,,12,0,5,33
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Kindy 04 - Shordt,,13,0,5,33
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Kindy 05 - Pasch,,12,0,4,34
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Kindy 06 - Mitchell,,11,0,2,36
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Kindy 07 - Randall,,11,0,1,37
2025 Regular Season BASEBALL,"Kindergarten Coach Pitch (League Age 6 & 7)  ",Kindy 08 - Dike,,13,0,4,34
