SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field
1,1,NWSLL,Garfin - NCLL - BB26JUNIOR,3/21/2026,16:00,18:30,Whitman Middle School / Soundview Playfield,Whitman 90' (West of MS / Turf Infield)
2,1,Shoreline 1,Garfin - NCLL - BB26JUNIOR,3/24/2026,19:30,21:30,Shorewood High School,90ft
3,1,Garfin - NCLL - BB26JUNIOR,RUG,3/26/2026,18:45,21:00,Lower Woodland,Field #1
4,2,Garfin - NCLL - BB26JUNIOR,Shoreline 2,3/30/2026,18:45,21:00,Lower Woodland,Field #1
5,2,WLL,Garfin - NCLL - BB26JUNIOR,4/2/2026,17:30,20:00,Northshore Athletic Fields,Field 1
6,3,Garfin - NCLL - BB26JUNIOR,NWSLL,4/7/2026,18:30,20:45,West Queen Anne Playfield,90ft
7,3,Shoreline 2,Garfin - NCLL - BB26JUNIOR,4/9/2026,19:30,21:30,Shorewood High School,90ft
8,3,RUG,Garfin - NCLL - BB26JUNIOR,4/10/2026,18:45,21:30,Lower Woodland,Field #1
9,5,Garfin - NCLL - BB26JUNIOR,QALL,4/19/2026,13:45,16:00,Lower Woodland,Field #1
10,5,Garfin - NCLL - BB26JUNIOR,NWSLL,4/23/2026,18:45,21:30,Lower Woodland,Field #1
11,5,Garfin - NCLL - BB26JUNIOR,TBD/Practice,4/24/2026,18:45,21:30,Lower Woodland,Field #1
12,6,Garfin - NCLL - BB26JUNIOR,BLL,4/27/2026,18:30,20:30,Lower Woodland,Field #1
13,6,Garfin - NCLL - BB26JUNIOR,WLL,4/29/2026,18:30,20:45,Lower Woodland,Field #1
14,6,Garfin - NCLL - BB26JUNIOR,TBD/Practice,5/1/2026,19:30,21:30,Whitman Middle School / Soundview Playfield,Whitman 90' (West of MS / Turf Infield)
15,7,Garfin - NCLL - BB26JUNIOR,NS/NL/NB,5/5/2026,18:45,21:15,Lower Woodland,Field #1
16,7,BLL,Garfin - NCLL - BB26JUNIOR,5/7/2026,18:45,21:00,Loyal Heights,Field 1 - 90' basepath field - SW Corner
17,8,Garfin - NCLL - BB26JUNIOR,Shoreline 1,5/9/2026,14:30,17:00,Lower Woodland,Field #1
18,8,Garfin - NCLL - BB26JUNIOR,WLL,5/11/2026,18:30,21:00,Lower Woodland,Field #1
19,8,NS/NL/NB,Garfin - NCLL - BB26JUNIOR,5/12/2026,17:30,20:00,Northshore Athletic Fields,Field 1
20,9,NS/NL/NB,Garfin - NCLL - BB26JUNIOR,5/16/2026,17:30,20:00,Northshore Athletic Fields,Field 1
21,9,RUG,Garfin - NCLL - BB26JUNIOR,5/19/2026,18:30,21:00,Lower Woodland,Field #1
22,9,Garfin - NCLL - BB26JUNIOR,TBD/Practice,5/21/2026,18:30,21:00,Lower Woodland,Field #1
