SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field #
1,1,Baseball-MAJ-Dolphins,Baseball-MAJ-Starfish,7/8/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #4
2,1,BL-MAJ-01,BL-MAJ-02,7/8/2025,18:00,20:00,Loyal Heights,Field #1
3,1,NW-MAJ-01,QA-MAJ-01,7/8/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Soundview Field #3
4,1,RUG-MAJ-01,NE-MAJ-01,7/8/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
5,2,NW-MAJ-01,Baseball-MAJ-Dolphins,7/10/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Soundview Field #3
6,2,BL-MAJ-01,NE-MAJ-01,7/10/2025,18:00,20:00,Ballard Playground,Field #2
7,2,QA-MAJ-01,RUG-MAJ-01,7/10/2025,18:00,20:00,West Queen Anne Playfield,Field #3
8,2,BL-MAJ-02,Baseball-MAJ-Starfish,7/10/2025,18:00,20:00,Loyal Heights,Field #1
9,3,Baseball-MAJ-Dolphins,RUG-MAJ-01,7/15/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #4
10,3,BL-MAJ-01,QA-MAJ-01,7/15/2025,18:00,20:00,Ballard Playground,Field #2
11,3,Baseball-MAJ-Starfish,NW-MAJ-01,7/16/2025,18:00,20:00,Ross Park Playfield,Lower Field
12,3,BL-MAJ-02,NE-MAJ-01,7/16/2025,18:00,20:00,Gilman Playground,Field #2
13,4,Baseball-MAJ-Dolphins,BL-MAJ-01,7/17/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #4
14,4,NE-MAJ-01,Baseball-MAJ-Starfish,7/17/2025,18:00,20:00,Magnuson Park,Field #10
15,4,NW-MAJ-01,RUG-MAJ-01,7/17/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Soundview Field #4
16,4,BL-MAJ-02,QA-MAJ-01,7/17/2025,18:30,20:30,Gilman Playground,Field #1
17,5,Baseball-MAJ-Starfish,RUG-MAJ-01,7/22/2025,16:30,18:30,Lower Woodland Ball Fields,Lower Woodland Ball Field #3
18,5,NE-MAJ-01,QA-MAJ-01,7/23/2025,18:00,20:00,Magnuson Park,Field #10
19,5,BL-MAJ-01,NW-MAJ-01,7/22/2025,18:00,20:00,Gilman Playground,Field #2
20,5,BL-MAJ-02,Baseball-MAJ-Dolphins,7/22/2025,18:00,20:00,Gilman Playground,Field #1
21,6,BL-MAJ-01,RUG-MAJ-01,7/24/2025,18:00,20:00,Gilman Playground,Field #1
