SortOrder,RoundNo,Team,MatchDate,StartTime,EndTime,Location,Field
1,1,Lynx,11/09/2025,20:00,21:30,Focus Training Facility,Cages
2,2,Lynx,11/16/2025,20:00,21:30,Focus Training Facility,Cages
3,3,Lynx,11/30/2025,20:00,21:30,Focus Training Facility,Cages
4,4,Lynx,12/07/2025,20:00,21:30,Focus Training Facility,Cages
5,5,Lynx,12/14/2025,20:00,21:30,Focus Training Facility,Cages
6,6,Lynx,12/21/2025,20:00,21:30,Focus Training Facility,Cages
7,7,Lynx,12/28/2025,20:00,21:30,Focus Training Facility,Cages
8,8,Lynx,01/04/2026,20:00,21:30,Focus Training Facility,Cages
9,9,Lynx,01/11/2026,20:00,21:30,Focus Training Facility,Cages
10,10,Lynx,01/18/2026,20:00,21:30,Focus Training Facility,Cages
11,11,Lynx,01/25/2026,20:00,21:30,Focus Training Facility,Cages
12,12,Lynx,02/01/2026,20:00,21:30,Focus Training Facility,Cages
13,13,Lynx,02/08/2026,20:00,21:30,Focus Training Facility,Cages
14,14,Lynx,02/15/2026,20:00,21:30,Focus Training Facility,Cages
15,15,Lynx,02/22/2026,20:00,21:30,Focus Training Facility,Cages


