Program/Division,Hat Model #,Shirt Model #,Hoodie Model #
Baseball - T-Ball,4301,ST350,none
Baseball - Kindy,4301,ST350,none
Baseball - A,4301,4003,none
Baseball - AA,4301,4003,none
Baseball - AAA,Richardson PTS30,4003,PC90H
Baseball - Majors,Richardson PTS30,4003,PC90H
Baseball - Juniors,Richardson PTS30,4003,PC90H
Baseball - Seniors,Richardson PTS30,4003,PC90H
Softball - A,4302,4408,none
Softball - AA,4302,4408,none
Softball - AAA,4302,4408,PC90H
Softball - Majors,4302,4408,PC90H
Softball - Juniors,4302,4408,PC90H
Softball - Seniors,4302,4408,PC90H
