school,street,city,state,zip
Bagley Elementary,7821 Stone Ave N,Seattle,WA,98103
BF Day Elementary,3921 Linden Ave N,Seattle,WA,98103
Greenwood Elementary,144 NW 80th St,Seattle,WA,98117
Hamilton International Middle School,1610 N 41st St,Seattle,WA,98103
John Stanford Elementary,4057 5th Ave NE,Seattle,WA,98105
Lincoln High School,4400 Interlake Ave N,Seattle,WA,98103
McDonald Elementary,144 NE 54th St,Seattle,WA,98105
Robert Eagle Staff Middle School,1330 N 90th St,Seattle,WA,98103
St Benedict School,4811 Wallingford Ave N,Seattle,WA,98103
St John School,120 N 79th St,Seattle,WA,98103
The Meridian School,4649 Sunnyside Ave N #242,Seattle,WA,98103
The Northwest School,1415 Summit Ave,Seattle,WA,98122
West Woodland Elementary,5601 4th Ave NW,Seattle,WA,98107
